Categorie,Entiteit,Variabele,Device,Key,Eenheid,Leverancier,ETD  intern,ETD extern,Type variabele,Vereist,Frequentie,Wie vult?,Bron,Cumulatief,Diff,Momentaan,Definitie,AVG gevoelig,Test,KNMI,Min,Max,ThresholdToelichting,ThresholdType,AggregatieMethode,ResamplingMethode,AggregatieMeenemen,FysischModel,Volgorde,Resolutie
Admin,Metadata,ProjectIdBSV,"['L', 34]",ja,,nee,ja,ja,integer,ja,vaste waarde,ETD,Stroomversnelling,nee,nee,nee,code toegekend door Stroomversnelling,nee,Bestaat in BSVMetadata,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Admin,Metadata,ProjectIdLeverancier,"['L', 34]",ja,,ja,ja,nee,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,code toegekend door dataleverancier,ja,elke dataleverancier code heeft een ProjectIdBSV,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Admin,Metadata,HuisIdBSV,"['L', 34]",ja,,nee,ja,ja,integer,ja,vaste waarde,ETD,Stroomversnelling,nee,nee,nee,code toegekend door Stroomversnelling,nee,Bestaat in BSVMetadata,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Admin,Metadata,HuisIdLeverancier,"['L', 34]",ja,,ja,ja,nee,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,code toegekend door dataleverancier,ja,elke dataleverancier code heeft een HuisIdBSV,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Locatie,Metadata,Weerstation,"['L', 34]",nee,,ja,nee,ja,string,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,dichtstbijzijnde KNMI weerstation,nee,Bestaat in lijst van KNMI weerstations,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,Oppervlakte,"['L', 34]",nee,m2,ja,nee,ja,integer,ja,vaste waarde,Dataleverancier,BAG / EP-online / Energielabel / Vabi,nee,nee,nee,"Ag, oftewel m2 gebruiksoppervlak",nee,Controleer drempelwaarde,,1.0,100000.0,,algemeen,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,Compactheid,"['L', 34]",nee,,ja,nee,ja,number,ja,vaste waarde,Dataleverancier,EP-online / Energielabel,nee,nee,nee,"Als/Ag, oftewel m2 verliesoppervlak / m2 gebruiksoppervlak",nee,Controleer drempelwaarde,,0.0,,,algemeen,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,Warmtebehoefte,"['L', 34]",nee,,ja,nee,ja,number,ja,vaste waarde,Dataleverancier,EP-online / Energielabel,nee,nee,nee,"kWh_th/m2/jr, volgens NTA8800",nee,Controleer drempelwaarde,,0.0,,,algemeen,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,PrimairFossielGebruik,"['L', 34]",nee,,ja,nee,ja,number,ja,vaste waarde,Dataleverancier,EP-online / Energielabel,nee,nee,nee,"kWh/m2/jr, volgens NTA8800 (EP2)",nee,Controleer drempelwaarde,,0.0,,,algemeen,,,False,"['L', 1, 2, 3]",,vaste waarde
Woningkenmerken,Metadata,Eigenaarschap,"['L', 34]",nee,,ja,nee,ja,number,ja,vaste waarde,Dataleverancier,Dataleverancier,nee,nee,nee,"Kiezen uit: Woningcorporatie, Particulier, Particuliere Verhuur, Overheid, Anders",nee,,,,,,,,,False,"['L', 1, 2, 3]",,vaste waarde
