Variabele,ThresholdType,Eenheid,Min,Max,ThresholdToelichting
CDR-RH 1 CO2 [ppm],momentaan,ppm,200,30000,
CDR-RH 1 Luchtvochtigheid [%],momentaan,procenten,10,100,
CDR-RH 1 Temperatuur [grC],momentaan,graden C,-20,60,
CDR-RH 2 CO2 [ppm],momentaan,ppm,200,30000,
CDR-RH 2 Luchtvochtigheid [%],momentaan,procenten,10,100,
CDR-RH 2 Temperatuur [grC],momentaan,graden C,-20,60,
CDR-RH Temperatuur [grC],momentaan,graden C,-20,60,
CO2,momentaan,ppm,200,30000,
CumulativeWaterFlow,cumulatief,m3,0.0,,
ElektriciteitNetgebruikHoog,cumulatief,kWh,0.0,99999,
ElektriciteitNetgebruikHoogDiff,5-minute,kWh,0.0,1.5,bij 3x25A
ElektriciteitNetgebruikLaag,cumulatief,kWh,0.0,99999,
ElektriciteitNetgebruikLaagDiff,5-minute,kWh,0.0,1.5,bij 3x25A
ElektriciteitsgebruikBoilervat,cumulatief,kWh,0.0,,
ElektriciteitsgebruikBoilervatDiff,5-minute,kWh,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering"
ElektriciteitsgebruikBooster,cumulatief,kWh,0.0,,
ElektriciteitsgebruikBoosterDiff,5-minute,kWh,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering"
ElektriciteitsgebruikHuishoudelijk,cumulatief,kWh,0.0,,
ElektriciteitsgebruikRadiator,cumulatief,kWh,0.0,,
ElektriciteitsgebruikRadiatorDiff,5-minute,kWh,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering"
ElektriciteitsgebruikWarmtepomp,cumulatief,kWh,0.0,,
ElektriciteitsgebruikWarmtepompDiff,5-minute,kWh,0.0,0.96,"bij aansluiting op 3 fase, 16A zekering"
ElektriciteitsgebruikWTW,cumulatief,kWh,0.0,,
ElektriciteitsgebruikWTWDiff,5-minute,kWh,0.0,0.32,"bij aansluiting op 1 fase, 16A zekering"
ElektriciteitTerugleveringHoog,cumulatief,kWh,0.0,99999,
ElektriciteitTerugleveringHoogDiff,5-minute,kWh,0.0,1.5,bij 3x25A
ElektriciteitTerugleveringLaag,cumulatief,kWh,0.0,99999,
ElektriciteitTerugleveringLaagDiff,5-minute,kWh,0.0,1.5,bij 3x25A
ElektriciteitVermogen,momentaan,W,0.0,18000,bij 3x25A
Gasgebruik,cumulatief,m3,0.0,99999,
GasgebruikDiff,5-minute,m3,0.0,0.8333,bij G6 aansluiting
Luchtvochtigheid,momentaan,procenten,10,100,
Mode,momentaan,factor,0.0,999,
Piekbelasting netverbruik P1 [kW],momentaan,kW,0.0,18,bij 3x25A
Piekbelasting teruglevering P1 [kW],momentaan,kW,0.0,18,bij 3x25A
TemperatuurSetpointWoonkamer,momentaan,graden C,0.0,40,
TemperatuurWarmTapwater,momentaan,graden C,1,99,
TemperatuurWoonkamer,momentaan,graden C,5,37,
TemperatuurTapwaterAanvoer,momentaan,graden C,0.0,100,
TemperatuurTapwaterRetour,momentaan,graden C,0.0,100,
Ventilatiedebiet,momentaan,m3 / uur,0.0,800,voor woningen
Vermogen warmtepomp binnen [kWh],momentaan,kW,0.0,11.52,"bij aansluiting op 3 fase, 16A zekering"
Vermogen warmtepomp buiten [kW],momentaan,kW,0.0,11.52,"bij aansluiting op 3 fase, 16A zekering"
Warmteproductie CV [GJ],cumulatief,GJ,0.0,200,
Warmteproductie Warm water [GJ],cumulatief,GJ,0.0,200,
WarmteProductieRuimte,cumulatief,GJ,0.0,200,
WarmteproductieWarmTapwater,cumulatief,GJ,0.0,200,
WarmteproductieWarmtepomp,cumulatief,GJ,0.0,200,
WarmteproductieWarmtepompDiff,5-minute,GJ,0.0,0.0576,"bij COP = 10, wp+boiler+booster"
WatergebruikWarmTapwater,cumulatief,liter,0.0,999999,
WatergebruikWarmTapwaterDiff,5-minute,liter,0.0,100,regendouche = 20 liter per minuut (van 40 graden)
Zon-opwekMomentaan,momentaan,kW,-2,11.5,"bij aansluiting op 3 fase, 16A zekering"
Zon-opwekTotaal,cumulatief,kWh,0.0,,
Zon-opwekTotaalDiff,5-minute,kWh,0.0,0.96,"bij aansluiting op 3 fase, 16A zekering"
Compactheid,,,0.0,,
Warmtebehoefte,,,0.0,,
PrimairFossielGebruik,,,0.0,,
ElektriciteitsgebruikWarmtepompIntern,cumulatief,kWh,0.0,11.52,"bij aansluiting op 3 fase, 16A zekering"
WarmteproductieRuimteverwarming,cumulatief,GJ,0.0,,
WatergebruikWarmtepomp,cumulatief,liter,0.0,,
WatergebruikRuimteverwarming,cumulatief,liter,0.0,,
SlimmemeterVoltageL1,momentaan,V,-999999,999999,
SlimmemeterVoltageL2,momentaan,V,-999999,999999,
SlimmemeterVoltageL3,momentaan,V,-999999,999999,
SlimmemeterStroomsterkteL1,momentaan,A,-999999,999999,
SlimmemeterStroomsterkteL2,momentaan,A,-999999,999999,
SlimmemeterStroomsterkteL3,momentaan,A,-999999,999999,
TemperatuurBoilervat,momentaan,graden C,1,100,
TemperatuurBinnenWTW,momentaan,graden C,-10,60,
TemperatuurBuitenWTW,momentaan,graden C,-50,60,
TemperatuurBuitenWarmtepomp,momentaan,graden C,-50,60,
TemperatuurAfgifteAanvoer,momentaan,graden C,1,100,
TemperatuurAfgifteRetour,momentaan,graden C,1,100,
WarmtepompModus,momentaan,,0.0,6,
WatergebruikWarmtepompDiff,5-minute,liter,0.0,,
WarmteproductieRuimteverwarmingDiff,5-minute,liter,0.0,,
ElektriciteitsgebruikWarmtepompInternDiff,5-minute,kWh,0.0,11.52,"bij aansluiting op 3 fase, 16A zekering"
WatergebruikRuimteverwarmingDiff,5-minute,liter,0.0,,
WarmteproductieWarmTapwaterDiff,5-minute,GJ,0.0,,
